transaction_id,investor_id,amfi_code,transaction_date,transaction_type,amount,state,kyc_status
1000,INV2000,102,2026-03-07,Lumpsum,12915,AP,Verified
1001,INV2001,102,2026-03-22,SIP,90192,TN,Rejected
1002,INV2002,101,2026-02-19,Lumpsum,79104,TN,Rejected
1003,INV2003,103,2026-03-12,SIP,90166,AP,Rejected
1004,INV2004,105,2026-02-04,Redemption,45587,AP,Pending
1005,INV2005,104,2026-01-21,Lumpsum,1425,KA,Rejected
1006,INV2006,102,2026-03-06,SIP,82959,KA,Rejected
1007,INV2007,105,2026-03-19,SIP,21032,KA,Verified
1008,INV2008,105,2026-03-09,SIP,79504,KA,Pending
1009,INV2009,101,2026-01-15,Lumpsum,41306,TS,Verified
1010,INV2010,102,2026-03-14,SIP,12226,TN,Verified
1011,INV2011,105,2026-01-17,SIP,87474,TN,Rejected
1012,INV2012,102,2026-02-03,Redemption,80507,TN,Verified
1013,INV2013,105,2026-03-30,SIP,94447,KA,Pending
1014,INV2014,103,2026-02-26,Redemption,60177,AP,Verified
1015,INV2015,102,2026-01-09,Lumpsum,3757,MH,Rejected
1016,INV2016,102,2026-03-17,SIP,1942,AP,Rejected
1017,INV2017,101,2026-01-30,SIP,5117,KA,Verified
1018,INV2018,105,2026-01-31,Lumpsum,88684,TN,Verified
1019,INV2019,105,2026-01-17,Redemption,75847,MH,Pending
1020,INV2020,102,2026-03-02,Lumpsum,25957,AP,Verified
1021,INV2021,104,2026-02-15,Lumpsum,54883,TN,Rejected
1022,INV2022,101,2026-03-28,Redemption,85696,AP,Verified
1023,INV2023,104,2026-02-13,SIP,33591,TS,Verified
1024,INV2024,105,2026-02-27,SIP,56296,TS,Pending
1025,INV2025,104,2026-02-01,SIP,59082,MH,Verified
1026,INV2026,101,2026-03-25,Redemption,2934,AP,Verified
1027,INV2027,102,2026-02-22,Lumpsum,64092,TS,Pending
1028,INV2028,101,2026-01-22,Lumpsum,1282,TN,Pending
1029,INV2029,104,2026-02-06,Lumpsum,92303,MH,Rejected
1030,INV2030,104,2026-01-20,SIP,39890,TS,Verified
1031,INV2031,105,2026-03-11,SIP,99038,KA,Verified
1032,INV2032,101,2026-03-16,Lumpsum,66909,MH,Verified
1033,INV2033,101,2026-03-07,SIP,25356,AP,Rejected
1034,INV2034,101,2026-03-28,SIP,53923,AP,Rejected
1035,INV2035,102,2026-03-16,Redemption,6209,MH,Verified
1036,INV2036,104,2026-03-26,Redemption,75085,MH,Pending
1037,INV2037,103,2026-01-27,Redemption,94872,KA,Verified
1038,INV2038,103,2026-02-20,SIP,89039,KA,Pending
1039,INV2039,103,2026-01-10,SIP,61068,MH,Rejected
1040,INV2040,101,2026-01-10,Redemption,28938,MH,Pending
1041,INV2041,102,2026-02-14,SIP,33018,KA,Pending
1042,INV2042,102,2026-02-26,Redemption,93214,KA,Rejected
1043,INV2043,105,2026-01-02,Redemption,73692,KA,Rejected
1044,INV2044,101,2026-01-18,Lumpsum,16129,AP,Rejected
1045,INV2045,105,2026-01-20,Lumpsum,37930,MH,Verified
1046,INV2046,103,2026-01-27,Redemption,84130,KA,Rejected
1047,INV2047,104,2026-02-02,SIP,13097,TN,Pending
1048,INV2048,101,2026-01-01,Lumpsum,18146,KA,Verified
1049,INV2049,104,2026-03-12,Redemption,57057,MH,Verified
