amfi_code,date,nav
101,2026-01-01,16.0
101,2026-01-06,62.47
101,2026-01-11,192.11
101,2026-01-18,185.14
101,2026-01-24,21.0
101,2026-01-26,215.28
101,2026-01-27,101.23
101,2026-02-01,156.19
101,2026-02-07,64.97
101,2026-02-08,203.21
102,2026-01-03,186.75
102,2026-01-12,177.55
102,2026-01-14,239.73
102,2026-01-25,195.54
102,2026-02-02,138.19
102,2026-02-03,49.22
102,2026-02-10,229.15
102,2026-02-15,69.19
102,2026-02-19,249.36
103,2026-01-02,68.77
103,2026-01-13,76.69
103,2026-01-15,34.53
103,2026-01-17,154.89
103,2026-01-21,209.06
103,2026-01-23,148.56
103,2026-01-29,49.04
103,2026-01-30,60.28
103,2026-01-31,178.44
103,2026-02-06,212.28
103,2026-02-12,61.03
104,2026-01-05,17.63
104,2026-01-10,151.42
104,2026-01-16,33.21
104,2026-01-20,28.91
104,2026-01-28,162.56
104,2026-02-04,74.79
104,2026-02-09,74.26
104,2026-02-13,104.95
104,2026-02-14,44.29
105,2026-01-04,30.87
105,2026-01-07,154.48
105,2026-01-08,57.72
105,2026-01-09,110.68
105,2026-01-19,39.96
105,2026-01-22,222.51
105,2026-02-05,62.71
105,2026-02-11,220.33
105,2026-02-16,139.35
105,2026-02-17,112.82
105,2026-02-18,105.86
