amfi_code,scheme_name,return_1y,return_3y,return_5y,expense_ratio,aum_crore
101,Alpha Growth,-2.74,31.49,45.97,1.35,3124
105,Flexi Cap,11.58,17.89,9.76,0.97,426
103,Balanced Plus,1.3,12.49,12.32,1.84,3429
105,Flexi Cap,17.48,32.77,17.94,0.54,1550
104,Income Fund,-4.26,27.1,21.95,2.15,2132
103,Balanced Plus,-0.22,26.04,24.07,0.28,3955
102,Blue Equity,0.99,32.55,22.69,1.92,1964
102,Blue Equity,-4.29,10.79,21.79,2.02,2386
103,Balanced Plus,14.24,16.99,49.21,1.33,326
101,Alpha Growth,21.31,12.84,32.38,2.27,413
101,Alpha Growth,12.9,15.37,41.03,1.12,4289
101,Alpha Growth,6.56,22.3,18.7,1.69,113
105,Flexi Cap,22.77,21.15,38.22,1.76,1714
103,Balanced Plus,7.94,33.47,46.67,1.51,1120
103,Balanced Plus,10.21,25.01,21.7,1.66,4641
102,Blue Equity,0.76,24.95,23.92,1.77,1525
105,Flexi Cap,12.07,17.18,43.02,0.84,1821
104,Income Fund,18.57,23.2,21.53,1.13,1850
105,Flexi Cap,9.2,32.04,41.43,0.56,794
103,Balanced Plus,10.46,23.99,22.08,1.92,2024
103,Balanced Plus,1.74,10.97,9.03,0.71,3992
105,Flexi Cap,20.49,7.18,25.41,1.52,1692
104,Income Fund,9.83,12.32,35.55,0.21,973
104,Income Fund,1.57,29.12,37.23,1.18,4666
102,Blue Equity,22.52,8.64,13.6,1.18,4451
105,Flexi Cap,12.86,33.5,45.44,1.49,4235
104,Income Fund,19.92,21.44,45.68,1.76,3988
104,Income Fund,2.78,12.42,34.78,1.81,4370
104,Income Fund,13.8,13.24,11.25,0.8,2325
103,Balanced Plus,4.59,21.2,13.81,0.69,1351
102,Blue Equity,-3.07,17.23,30.79,1.07,1794
104,Income Fund,6.68,28.09,47.73,0.24,4816
104,Income Fund,9.31,33.28,20.54,1.02,3532
105,Flexi Cap,17.43,21.38,33.34,0.66,1897
103,Balanced Plus,8.08,5.87,22.12,1.63,3412
102,Blue Equity,20.22,32.59,49.19,1.32,3327
105,Flexi Cap,11.93,5.81,35.0,0.48,3882
102,Blue Equity,-3.49,16.37,16.89,0.89,3205
103,Balanced Plus,17.56,29.96,18.6,0.37,258
105,Flexi Cap,-3.44,33.56,17.42,0.34,429
101,Alpha Growth,23.49,10.98,8.86,0.52,1134
104,Income Fund,15.08,21.92,17.15,1.67,3121
102,Blue Equity,13.18,33.91,38.17,1.83,1441
103,Balanced Plus,-1.76,5.77,21.1,1.62,3174
104,Income Fund,23.24,10.95,32.87,1.94,2089
101,Alpha Growth,15.92,14.05,36.74,1.89,4736
101,Alpha Growth,5.42,17.85,23.56,1.26,2895
101,Alpha Growth,20.49,29.67,12.43,2.22,3866
102,Blue Equity,8.06,27.01,48.55,0.77,4508
104,Income Fund,8.95,29.77,32.88,0.88,2111
